Original_Index,Selected_Index,Correlation
149,1,-0.123787
150,2,-0.112359
198,3,-0.146450
220,4,0.123485
234,5,-0.178729
256,6,-0.371074
292,7,-0.115316
324,8,-0.179686
354,9,-0.123433
374,10,-0.330242
379,11,-0.263374
409,12,-0.144096
411,13,-0.148771
416,14,-0.449957
566,15,-0.399977
601,16,-0.143303
623,17,-0.154061
640,18,-0.126491
660,19,-0.194709
700,20,-0.136809
704,21,-0.124694
706,22,-0.123999
715,23,-0.174853
725,24,-0.108370
733,25,-0.247551
751,26,-0.121025
763,27,-0.280416
766,28,-0.272563
772,29,-0.233298
784,30,-0.119151
789,31,-0.156685
803,32,0.242458
919,33,-0.226976
929,34,-0.149537
974,35,-0.232892
975,36,-0.152567
998,37,-0.171073
999,38,-0.234339
1042,39,-0.280738
1054,40,-0.220286
1084,41,-0.111357
1184,42,-0.234339
1200,43,-0.229124
1215,44,-0.449957
1217,45,-0.280416
1218,46,-0.123999
1220,47,-0.272563
1222,48,-0.399977
1223,49,-0.174853
1228,50,-0.330242
1229,51,0.123485
1230,52,-0.232892
1232,53,-0.263374
1234,54,-0.156685
1236,55,-0.178729
1238,56,-0.220286
1240,57,-0.229124
1241,58,0.242458
1242,59,-0.371074
1243,60,-0.155747
